,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,34,38.0,40.0,49.0,57.0,58.0,63.0,78.0,89.0,,,,,,,
1,22,32.0,39.0,44.0,,,,,,,,,,,,
2,18,24.0,92.0,,,,,,,,,,,,,
3,9,10.0,20.0,42.0,65.0,79.0,81.0,84.0,,,,,,,,
4,4,13.0,25.0,43.0,46.0,47.0,48.0,51.0,66.0,71.0,80.0,88.0,96.0,98.0,,
5,26,28.0,54.0,,,,,,,,,,,,,
6,1,3.0,6.0,8.0,15.0,21.0,29.0,30.0,33.0,35.0,41.0,64.0,68.0,69.0,75.0,95.0
7,23,53.0,59.0,61.0,82.0,,,,,,,,,,,
8,17,27.0,77.0,,,,,,,,,,,,,
9,7,52.0,60.0,72.0,76.0,90.0,,,,,,,,,,
10,2,11.0,31.0,36.0,37.0,55.0,56.0,62.0,67.0,73.0,83.0,85.0,91.0,97.0,,
11,12,14.0,19.0,45.0,50.0,70.0,74.0,86.0,87.0,93.0,94.0,99.0,,,,
12,0,5.0,,,,,,,,,,,,,,
13,16,,,,,,,,,,,,,,,
