,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,19,34,38.0,49.0,64.0,86.0,89.0,90.0,,,,,,,,,,,,,,,,,,,,
1,52,55,72.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,65,68.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,33,48.0,85.0,96.0,,,,,,,,,,,,,,,,,,,,,,,
4,0,3,6.0,7.0,28.0,51.0,59.0,69.0,83.0,97.0,,,,,,,,,,,,,,,,,,
5,1,56,75.0,79.0,80.0,,,,,,,,,,,,,,,,,,,,,,,
6,21,78,84.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,
7,9,53,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,25,39,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,23,36.0,81.0,94.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,30,41.0,62.0,67.0,76.0,87.0,,,,,,,,,,,,,,,,,,,,,
11,2,4,13.0,16.0,20.0,22.0,24.0,27.0,29.0,35.0,37.0,43.0,45.0,46.0,50.0,54.0,57.0,61.0,66.0,73.0,74.0,77.0,82.0,91.0,93.0,95.0,98.0,99.0
12,5,14,15.0,17.0,18.0,26.0,32.0,40.0,42.0,44.0,47.0,58.0,63.0,70.0,71.0,,,,,,,,,,,,,
13,31,92,,,,,,,,,,,,,,,,,,,,,,,,,,
