,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,13,21,35.0,37.0,47.0,51.0,61.0,62.0,66.0,72.0,74.0,77.0,78.0,82.0,84.0,85.0,87.0,89.0,93.0,96.0
1,0,3,4.0,5.0,7.0,9.0,10.0,12.0,16.0,27.0,28.0,30.0,32.0,36.0,49.0,52.0,55.0,60.0,68.0,75.0
2,11,19,42.0,43.0,45.0,54.0,56.0,79.0,95.0,,,,,,,,,,,
3,6,18,20.0,26.0,48.0,,,,,,,,,,,,,,,
4,1,70,76.0,98.0,,,,,,,,,,,,,,,,
5,29,57,63.0,86.0,,,,,,,,,,,,,,,,
6,46,53,58.0,99.0,,,,,,,,,,,,,,,,
7,22,24,81.0,90.0,,,,,,,,,,,,,,,,
8,23,34,67.0,80.0,,,,,,,,,,,,,,,,
9,92,97,,,,,,,,,,,,,,,,,,
10,14,31,50.0,71.0,94.0,,,,,,,,,,,,,,,
11,17,40,44.0,59.0,65.0,83.0,91.0,,,,,,,,,,,,,
12,33,38,64.0,69.0,73.0,88.0,,,,,,,,,,,,,,
13,2,8,15.0,25.0,39.0,41.0,,,,,,,,,,,,,,
