,Ratio_false_alarms
Fault_found_number_1,0.0010125
Fault_found_number_2,0.0010125
Fault_found_number_3,0.0010125
Fault_found_number_4,0.0010125
Fault_found_number_5,0.0010125
Fault_found_number_6,0.0010125
Fault_found_number_7,0.0010125
Fault_found_number_8,0.0010125
Fault_found_number_9,0.0010125
Fault_found_number_10,0.0010125
Fault_found_number_11,0.0010125
Fault_found_number_12,0.0010125
Fault_found_number_13,0.0010125
Fault_found_number_14,0.0010125
Fault_found_number_15,0.0010125
Fault_found_number_16,0.0010125
Fault_found_number_17,0.0010125
Fault_found_number_18,0.0010125
Fault_found_number_19,0.0010125
Fault_found_number_20,0.0010125
