,Ratio_faults_found
Fault_found_number_1,0.996285
Fault_found_number_2,0.984425
Fault_found_number_3,0.00135
Fault_found_number_4,0.8691325
Fault_found_number_5,0.9992275
Fault_found_number_6,1.0
Fault_found_number_7,1.0
Fault_found_number_8,0.9688325
Fault_found_number_9,0.001345
Fault_found_number_10,0.7117225
Fault_found_number_11,0.5606425
Fault_found_number_12,0.986085
Fault_found_number_13,0.93913
Fault_found_number_14,0.9991425
Fault_found_number_15,0.0016375
Fault_found_number_16,0.8556125
Fault_found_number_17,0.8419725
Fault_found_number_18,0.9315325
Fault_found_number_19,0.7365425
Fault_found_number_20,0.6455775
